Data_Registro;Tensao_Fase_RS_V;Tensao_Fase_ST_V;Tensao_Fase_TR_V;Corrente_Fase_R_A;Corrente_Fase_S_A;Corrente_Fase_T_A;Demanda_kW;Potencia-Ativa_kW
2022-07-28 00:29:41.863;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.867;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.880;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.883;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.890;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.893;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.897;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.903;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.907;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.917;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.920;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.927;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.930;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.933;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.937;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 00:29:41.943;439;441;442;156;163;144;1797;-24600
2022-07-28 00:29:41.947;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 01:29:41.950;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 01:29:41.953;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 01:29:41.967;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-28 01:29:41.973;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
